,CADASTRO DE SERVIÇOS,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,SN,,,,N,,,,MEI,,,,,,,
,CÓDIGO DO SERVIÇO,DESCRIÇÃO DO SERVIÇO,ISSQN,INSS,CS,IRRF,ISSQN,INSS,CS,IRRF,ISSQN,INSS,CS,IRRF,,,,
,601M,"Barbearia, cabeleireiros, manicuros, pedicuros e congêneres.","1,00%",NT,NT,NT,"5,00%",NT,NT,NT,NT,NT,NT,NT,,,,
,602M,"Esteticistas, tratamento de pele, depilação e congêneres.","1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
,603M,"Banhos, duchas, sauna, massagens e congêneres.","1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
,604M,"Ginástica, dança, esportes, natação, artes marciais e demais atividades físicas.","1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
,605M,"Centros de emagrecimento, spa e congêneres.","1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
,606M,"Aplicação de tatuagens, piercings e congêneres","1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
,701M-Engenharia ..,"Engenharia, agronomia, agrimensura, arquitetura, geologia, urbanismo, paisagismo e congêneres.","1,00%",NT,NT,NT,"5,00%",NT,"4,65%","1,50%",NT,NT,NT,NT,,,,
,701M -Paisagismo,Paisagismo e congêneres.,"1,00%","11,00%",NT,NT,"5,00%","11,00%","4,65%","1,50%",NT,NT,NT,NT,,"Sim, para serviços  de Paisagismo-Art 117- I e III",,
,702M-Manut  mensal,"Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS).","1,00%","11,00%",NT,NT,"5,00%","11,00%","4,65%","1,00%",NT,NT,NT,NT,,,,Manutenção predial
,702M-Execução,"Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS).","1,00%",NT,NT,NT,"5,00%","11,00%",NT,NT,NT,NT,NT,NT,,,,execução de obra
